NM_001143805.1,NM_001143805.1,100.000,3827,0,0,1,3827,1,3827,0.0,6902
NM_001143805.1,AY054393.2,99.973,3772,0,1,57,3827,1,3772,0.0,6795
NM_001143805.1,EF689015.1,99.973,3699,1,0,129,3827,318,4016,0.0,6667
NM_001143805.1,AY054398.2,99.973,3699,1,0,129,3827,259,3957,0.0,6667
NM_001143805.1,EF674520.1,100.000,3696,0,0,132,3827,233,3928,0.0,6666
NM_001143805.1,AY054396.2,100.000,3696,0,0,132,3827,132,3827,0.0,6666
NM_001143805.1,EF689017.1,99.973,3698,1,0,130,3827,178,3875,0.0,6665
NM_001143805.1,AY054399.2,99.973,3698,1,0,130,3827,145,3842,0.0,6665
NM_001143805.1,NG_011794.1,100.000,3694,0,0,134,3827,68471,72164,0.0,6662
NM_001143805.1,NG_011794.1,100.000,136,0,0,1,136,6280,6415,5.77e-60,246
NM_001143805.1,NM_001143816.1,100.000,3694,0,0,134,3827,828,4521,0.0,6662
NM_001143805.1,NM_170735.5,100.000,3694,0,0,134,3827,1062,4755,0.0,6662
NM_001143805.1,EF689016.1,100.000,3694,0,0,134,3827,430,4123,0.0,6662
NM_001143805.1,EF689010.1,100.000,3694,0,0,134,3827,842,4535,0.0,6662
NM_001143805.1,EF689009.1,100.000,3694,0,0,134,3827,1076,4769,0.0,6662
NM_001143805.1,AF411339.1,100.000,3694,0,0,134,3827,95203,98896,0.0,6662
NM_001143805.1,AF411339.1,100.000,136,0,0,1,136,33026,33161,5.77e-60,246
NM_001143805.1,NM_001143812.1,100.000,3693,0,0,135,3827,224,3916,0.0,6661
NM_001143805.1,NM_001143811.1,100.000,3693,0,0,135,3827,482,4174,0.0,6661
NM_001143805.1,NM_001143810.1,100.000,3693,0,0,135,3827,365,4057,0.0,6661
NM_001143805.1,EF689014.1,100.000,3693,0,0,135,3827,306,3998,0.0,6661
NM_001143805.1,EF689013.1,100.000,3693,0,0,135,3827,224,3916,0.0,6661
NM_001143805.1,NM_001143809.1,100.000,3693,0,0,135,3827,82,3774,0.0,6661
NM_001143805.1,NM_001143808.1,100.000,3693,0,0,135,3827,72,3764,0.0,6661
NM_001143805.1,NM_170733.3,100.000,3693,0,0,135,3827,336,4028,0.0,6661
NM_001143805.1,NM_170732.4,100.000,3693,0,0,135,3827,433,4125,0.0,6661
NM_001143805.1,NM_170732.4,100.000,136,0,0,1,136,1,136,5.77e-60,246
NM_001143805.1,AY054397.2,100.000,3693,0,0,135,3827,218,3910,0.0,6661
